Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,5.060000,5.150000,5.035000,5.050000,4.590361,4903649
2018-01-03,5.030000,5.080000,4.980000,5.000000,4.544911,5150707
2018-01-04,5.000000,5.030000,4.860000,4.860000,4.417654,9517696
2018-01-05,4.860000,4.895000,4.840000,4.890000,4.444923,7494807
2018-01-08,4.920000,5.045000,4.900000,5.040000,4.581271,7197168
2018-01-09,5.030000,5.060000,4.860000,4.860000,4.417654,11591856
2018-01-10,4.860000,4.920000,4.770000,4.900000,4.454013,9948038
2018-01-11,4.880000,4.945000,4.790000,4.890000,4.444923,7505037
2018-01-12,4.930000,5.050000,4.915000,5.030000,4.572180,12051748
2018-01-15,5.130000,5.210000,5.110000,5.180000,4.708528,11858138
2018-01-16,5.170000,5.210000,5.140000,5.190000,4.717618,9965154
2018-01-17,5.220000,5.290000,5.110000,5.160000,4.690349,11053713
2018-01-18,5.130000,5.150000,5.030000,5.080000,4.617630,7171412
2018-01-19,5.100000,5.250000,5.080000,5.230000,4.753977,13982256
2018-01-22,5.200000,5.260000,5.140000,5.250000,4.772157,7812100
2018-01-23,5.270000,5.320000,5.240000,5.240000,4.763066,8530157
2018-01-24,5.220000,5.300000,5.160000,5.280000,4.799427,7391648
2018-01-25,5.200000,5.270000,5.120000,5.260000,4.781246,6154518
2018-01-29,5.230000,5.300000,5.230000,5.280000,4.799427,5953176
2018-01-30,5.240000,5.370000,5.210000,5.270000,4.790337,9184945
2018-01-31,5.210000,5.310000,5.190000,5.270000,4.790337,6292647
2018-02-01,5.330000,5.370000,5.270000,5.350000,4.863055,5187733
2018-02-02,5.320000,5.360000,5.280000,5.330000,4.844875,4038605
2018-02-05,5.320000,5.330000,5.255000,5.310000,4.826696,7518533
2018-02-06,5.150000,5.230000,5.130000,5.160000,4.690349,8833908
2018-02-07,5.250000,5.320000,5.210000,5.220000,4.744887,10336888
2018-02-08,5.180000,5.220000,5.080000,5.160000,4.690349,8572318
2018-02-09,5.050000,5.125000,5.025000,5.090000,4.626720,10251747
2018-02-12,5.080000,5.145000,5.000000,5.130000,4.663079,6859936
2018-02-13,5.130000,5.200000,5.090000,5.110000,4.644899,5564952
2018-02-14,5.100000,5.120000,5.030000,5.030000,4.572180,4905778
