Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,3.640000,3.675000,3.630000,3.660000,3.399197,8990912
2018-01-03,3.670000,3.685000,3.645000,3.660000,3.399197,12418563
2018-01-04,3.680000,3.690000,3.670000,3.680000,3.417772,12158560
2018-01-05,3.700000,3.730000,3.690000,3.730000,3.464209,18064317
2018-01-08,3.740000,3.760000,3.730000,3.750000,3.482784,18490173
2018-01-09,3.770000,3.785000,3.750000,3.750000,3.482784,25741244
2018-01-10,3.780000,3.780000,3.700000,3.710000,3.445634,29423537
2018-01-11,3.700000,3.735000,3.680000,3.710000,3.445634,15919079
2018-01-12,3.730000,3.750000,3.700000,3.740000,3.473496,26797583
2018-01-15,3.750000,3.760000,3.700000,3.710000,3.445634,14124236
2018-01-16,3.700000,3.700000,3.640000,3.650000,3.389910,29544932
2018-01-17,3.650000,3.660000,3.600000,3.600000,3.343472,26912569
2018-01-18,3.630000,3.660000,3.610000,3.620000,3.362047,23322244
2018-01-19,3.620000,3.630000,3.550000,3.570000,3.315610,29661206
2018-01-22,3.600000,3.610000,3.570000,3.570000,3.315610,11433828
2018-01-23,3.580000,3.590000,3.560000,3.570000,3.315610,13941194
2018-01-24,3.580000,3.590000,3.560000,3.570000,3.315610,23379102
2018-01-25,3.560000,3.570000,3.530000,3.560000,3.306323,29358079
2018-01-29,3.570000,3.650000,3.565000,3.620000,3.362047,24423541
2018-01-30,3.610000,3.635000,3.600000,3.600000,3.343472,14138824
2018-01-31,3.600000,3.690000,3.575000,3.670000,3.408484,38783867
2018-02-01,3.680000,3.680000,3.620000,3.640000,3.380622,38593165
2018-02-02,3.630000,3.675000,3.590000,3.670000,3.408484,30491033
2018-02-05,3.640000,3.640000,3.605000,3.620000,3.362047,21058372
2018-02-06,3.560000,3.560000,3.480000,3.510000,3.259886,53276602
2018-02-07,3.540000,3.570000,3.500000,3.500000,3.250598,27375575
2018-02-08,3.490000,3.570000,3.490000,3.560000,3.306323,22698598
2018-02-09,3.510000,3.520000,3.490000,3.490000,3.241311,23525323
2018-02-12,3.500000,3.500000,3.430000,3.450000,3.204161,33147578
2018-02-13,3.470000,3.520000,3.465000,3.480000,3.232023,24376392
2018-02-14,3.490000,3.500000,3.430000,3.430000,3.185586,27008375
2018-02-15,3.420000,3.500000,3.420000,3.450000,3.204161,26042808
2018-02-16,3.470000,3.485000,3.430000,3.430000,3.185586,26312414
