Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,6.560000,6.600000,6.500000,6.530000,5.996415,813640
2018-01-03,6.520000,6.580000,6.490000,6.550000,6.014780,819761
2018-01-04,6.550000,6.580000,6.510000,6.550000,6.014780,992756
2018-01-05,6.590000,6.750000,6.580000,6.730000,6.180072,1293880
2018-01-08,6.750000,6.880000,6.750000,6.760000,6.207621,999125
2018-01-09,6.750000,6.760000,6.660000,6.680000,6.134158,1155127
2018-01-10,6.680000,6.740000,6.610000,6.640000,6.097426,1232094
2018-01-11,6.600000,6.630000,6.530000,6.550000,6.014780,1296769
2018-01-12,6.540000,6.600000,6.410000,6.570000,6.033146,1645377
2018-01-15,6.610000,6.700000,6.460000,6.470000,5.941317,1172789
2018-01-16,6.470000,6.480000,6.410000,6.430000,5.904585,1221414
2018-01-17,6.400000,6.470000,6.400000,6.430000,5.904585,859829
2018-01-18,6.430000,6.460000,6.340000,6.360000,5.840305,1073322
2018-01-19,6.350000,6.450000,6.320000,6.430000,5.904585,742269
2018-01-22,6.420000,6.470000,6.375000,6.440000,5.913768,833723
2018-01-23,6.440000,6.510000,6.370000,6.470000,5.941317,1119456
2018-01-24,6.500000,6.530000,6.350000,6.370000,5.849489,1306147
2018-01-25,6.340000,6.340000,6.280000,6.280000,5.766843,1380420
2018-01-29,6.300000,6.440000,6.300000,6.410000,5.886220,1576421
2018-01-30,6.360000,6.450000,6.350000,6.350000,5.831123,987913
2018-01-31,6.340000,6.420000,6.320000,6.370000,5.849489,1647003
2018-02-01,6.380000,6.425000,6.340000,6.380000,5.858671,1308919
2018-02-02,6.350000,6.570000,6.335000,6.550000,6.014780,1610856
2018-02-05,6.490000,6.490000,6.300000,6.340000,5.821940,1208622
2018-02-06,6.180000,6.180000,5.940000,5.990000,5.500539,2665990
2018-02-07,6.070000,6.200000,6.040000,6.150000,5.647465,2224197
2018-02-08,6.130000,6.260000,6.130000,6.260000,5.748477,1638483
2018-02-09,6.030000,6.070000,5.980000,6.040000,5.546454,2557444
2018-02-12,6.030000,6.160000,5.960000,5.970000,5.482173,2076378
2018-02-13,6.020000,6.070000,5.960000,6.010000,5.518906,2659319
2018-02-14,6.000000,6.085000,5.970000,5.980000,5.491356,2370375
2018-02-15,5.970000,6.060000,5.970000,5.970000,5.482173,1536000
2018-02-16,6.030000,6.055000,5.980000,6.000000,5.509721,2561975
2018-02-19,6.040000,6.150000,6.040000,6.120000,5.619917,1144335
2018-02-20,6.110000,6.230000,6.110000,6.180000,5.675014,2507833
2018-02-21,6.150000,6.220000,6.150000,6.170000,5.665831,1142612
2018-02-22,6.180000,6.260000,6.140000,6.240000,5.730111,996070
2018-02-23,6.300000,6.315000,6.200000,6.230000,5.720928,983451
2018-02-26,6.250000,6.350000,6.230000,6.240000,5.730111,1253962
2018-02-27,6.330000,6.370000,6.250000,6.250000,5.739294,1958385
2018-02-28,6.260000,6.290000,6.110000,6.110000,5.610734,2237146
2018-03-01,6.130000,6.200000,6.090000,6.180000,5.675014,1556627
2018-03-02,6.140000,6.155000,6.000000,6.000000,5.509721,1220690
2018-03-05,6.010000,6.100000,6.010000,6.030000,5.537271,1278481
2018-03-06,6.080000,6.170000,6.080000,6.120000,5.619917,1220360
2018-03-07,6.090000,6.130000,6.020000,6.080000,5.583185,1396043
2018-03-08,6.090000,6.130000,6.050000,6.080000,5.583185,1287611
2018-03-09,6.070000,6.180000,6.050000,6.130000,5.629100,1487874
2018-03-12,6.190000,6.230000,6.130000,6.170000,5.665831,1035661
2018-03-13,6.150000,6.170000,6.045000,6.060000,5.564819,1254407
2018-03-14,6.020000,6.060000,6.000000,6.040000,5.546454,1174134
2018-03-15,6.020000,6.030000,5.940000,5.940000,5.454625,1916729
2018-03-16,5.950000,6.090000,5.950000,6.020000,5.528088,1679197
2018-03-19,5.960000,6.075000,5.950000,6.040000,5.546454,1128557
2018-03-20,6.290000,6.340000,5.700000,5.760000,5.289332,5444805
2018-03-21,5.780000,6.020000,5.710000,5.980000,5.491356,3736494
2018-03-22,5.910000,5.990000,5.780000,5.860000,5.381162,4399642
2018-03-23,5.770000,5.770000,5.650000,5.700000,5.234236,2845351
2018-03-26,5.660000,5.680000,5.580000,5.630000,5.169956,2171116
2018-03-27,5.660000,5.720000,5.570000,5.600000,5.142407,2342600
2018-03-28,5.580000,5.660000,5.540000,5.550000,5.096493,1505702
2018-03-29,5.540000,5.600000,5.415000,5.490000,5.041396,3220230
2018-04-03,5.490000,5.560000,5.480000,5.540000,5.087310,2032664
2018-04-04,5.500000,5.550000,5.440000,5.510000,5.059761,2265736
2018-04-05,5.500000,5.560000,5.450000,5.520000,5.068944,989935
2018-04-06,5.540000,5.540000,5.450000,5.500000,5.050579,860910
2018-04-09,5.490000,5.540000,5.460000,5.500000,5.050579,1365147
2018-04-10,5.540000,5.550000,5.450000,5.500000,5.050579,1720698
2018-04-11,5.500000,5.510000,5.420000,5.420000,4.977116,2099251
2018-04-12,5.420000,5.490000,5.400000,5.410000,4.967933,992166
2018-04-13,5.420000,5.500000,5.410000,5.450000,5.004664,866269
2018-04-16,5.460000,5.490000,5.400000,5.400000,4.977015,706507
2018-04-17,5.400000,5.440000,5.320000,5.340000,4.921714,1054437
2018-04-18,5.360000,5.400000,5.335000,5.390000,4.967797,935460
2018-04-19,5.230000,5.310000,5.150000,5.260000,4.847981,3606605
2018-04-20,5.200000,5.220000,5.110000,5.120000,4.718947,1420633
2018-04-23,5.220000,5.260000,5.210000,5.250000,4.838763,2008861
2018-04-24,5.270000,5.300000,5.180000,5.240000,4.829546,2220453
2018-04-26,5.300000,5.350000,5.230000,5.280000,4.866414,3168913
2018-04-27,5.340000,5.555000,5.330000,5.520000,5.087615,2266835
2018-04-30,5.610000,5.690000,5.570000,5.580000,5.142915,3618481
2018-05-01,5.630000,5.720000,5.630000,5.680000,5.235082,4235445
2018-05-02,5.680000,5.710000,5.650000,5.670000,5.225865,2193059
2018-05-03,5.750000,5.860000,5.720000,5.790000,5.336465,2176227
2018-05-04,5.850000,5.850000,5.740000,5.750000,5.299598,1046284
2018-05-07,5.810000,5.850000,5.635000,5.650000,5.207431,1064461
2018-05-08,5.710000,5.750000,5.640000,5.640000,5.198215,1307098
2018-05-09,5.670000,5.750000,5.665000,5.740000,5.290381,1331861
2018-05-10,5.760000,5.840000,5.750000,5.790000,5.336465,1064303
2018-05-11,5.790000,5.850000,5.770000,5.780000,5.327249,978864
2018-05-14,5.750000,5.770000,5.520000,5.530000,5.096832,2353533
2018-05-15,5.520000,5.560000,5.370000,5.370000,4.949364,2815072
2018-05-16,5.390000,5.460000,5.320000,5.330000,4.912497,1710963
2018-05-17,5.360000,5.430000,5.330000,5.420000,4.995448,1043026
2018-05-18,5.450000,5.460000,5.380000,5.400000,4.977015,1034603
2018-05-21,5.420000,5.420000,5.330000,5.330000,4.912497,780664
2018-05-22,5.350000,5.360000,5.250000,5.260000,4.847981,1084309
2018-05-23,5.280000,5.360000,5.250000,5.350000,4.930931,1148696
2018-05-24,5.330000,5.460000,5.330000,5.430000,5.004664,1142529
2018-05-25,5.460000,5.630000,5.430000,5.530000,5.096832,1678198
2018-05-28,5.560000,5.590000,5.530000,5.590000,5.152132,1736295
2018-05-29,5.530000,5.540000,5.395000,5.420000,4.995448,3566511
2018-05-30,5.450000,5.460000,5.360000,5.460000,5.032314,1487453
2018-05-31,5.520000,5.660000,5.505000,5.570000,5.133698,4750935
2018-06-01,5.510000,5.570000,5.410000,5.410000,4.986231,1939721
2018-06-04,5.400000,5.415000,5.270000,5.270000,4.857197,1634350
2018-06-05,5.270000,5.320000,5.215000,5.300000,4.884848,1521904
2018-06-06,5.300000,5.380000,5.270000,5.360000,4.940148,1484350
2018-06-07,5.380000,5.600000,5.380000,5.500000,5.069181,8329785
2018-06-08,5.460000,5.530000,5.420000,5.420000,4.995448,1060359
2018-06-12,5.500000,5.520000,5.415000,5.430000,5.004664,1328939
2018-06-13,5.420000,5.440000,5.370000,5.400000,4.977015,744713
2018-06-14,5.370000,5.520000,5.370000,5.470000,5.041531,2292444
2018-06-15,5.500000,5.625000,5.480000,5.590000,5.152132,2361406
2018-06-18,5.590000,5.610000,5.520000,5.560000,5.124481,1150366
2018-06-19,5.550000,5.570000,5.500000,5.520000,5.087615,1284920
2018-06-20,5.430000,5.490000,5.390000,5.440000,5.013881,3233707
2018-06-21,5.440000,5.465000,5.270000,5.290000,4.875631,2940339
2018-06-22,5.260000,5.330000,5.190000,5.270000,4.857197,2772308
2018-06-25,5.270000,5.290000,5.200000,5.200000,4.792680,1603975
2018-06-26,5.200000,5.215000,5.145000,5.190000,4.783464,1418719
2018-06-27,5.170000,5.170000,5.070000,5.080000,4.682080,1856775
2018-06-28,5.100000,5.170000,5.080000,5.100000,4.700513,7339607
2018-06-29,5.090000,5.200000,5.030000,5.170000,4.765031,3238252
2018-07-02,5.150000,5.170000,5.055000,5.070000,4.672863,1798187
